Title,Price,Neighborhood,Size,Rooms,Bedrooms,Bathrooms,Floors,Additional Information,Location
Luxueuse villa à vendre/Quartier Souissi /Rabat,25 000 000 DH,Souissi à Rabat,2925 m²,3 Pièces,8 Chambres,6 Salles de bains,Not specified,['Bon état'],"['33.953138012963194', '-6.826543724164367']"
Bel appartement à vendre à Agdal. Surface de 75 m²,1 600 000 DH,Agdal à Rabat,75 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,['Nouveau'],"['33.98161168590123', '-6.8646525498479605']"
Villa de luxe neuve en vente,23 000 000 DH,Souissi à Rabat,1700 m²,6 Pièces,5 Chambres,5 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['33.953138012963194', '-6.826543724164367']"
Appartement à vendre à l'agdal,1 370 000 DH,Agdal à Rabat,50 m²,Not specified,1 Chambre,1 Salle de bain,Not specified,[],"['34.00037546099115', '-6.850061416625977']"
Appartement à vendre à l'agdal,1 900 000 DH,Agdal à Rabat,85 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['34.00037546099115', '-6.850061416625977']"
"Villa ancienne a vendre à Hay riad, superficie 270 m²",4 800 000 DH,Riyad à Rabat,270 m²,4 Pièces,3 Chambres,3 Salles de bains,Not specified,"['Bon état', '10-20 ans']","['33.958311531468844', '-6.870403289794922']"
Très bel appartement à vendre orangeraie souissi,4 300 000 DH,Souissi à Rabat,182 m²,4 Pièces,3 Chambres,3 Salles de bains,Not specified,"['Bon état', ""Moins d'un an""]","['33.98161168590123', '-6.8646525498479605']"
Un bel rez de jardin pour la vente à prestigia,1 750 000 DH,Riyad à Rabat,120 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,"['Nouveau', '1-5 ans']","['33.958311531468844', '-6.870403289794922']"
Magnifique Appartement Entièrement Rénové à Vendre,2 600 000 DH,Riyad à Rabat,120 m²,2 Pièces,2 Chambres,2 Salles de bains,2ème étage,"['Nouveau', '10-20 ans']","['33.958311531468844', '-6.870403289794922']"
Bel appartement au coeur de Mahaj Ryad,2 400 000 DH,Riyad à Rabat,101 m²,3 Pièces,2 Chambres,2 Salles de bains,5ème étage,"['Bon état', '10-20 ans']","['33.958311531468844', '-6.870403289794922']"
Villa à vendre Souissi 2050m,11 000 000 DH,Souissi à Rabat,2050 m²,10 Pièces,5 Chambres,5 Salles de bains,Not specified,['Bon état'],"['33.953138012963194', '-6.826543724164367']"
Villa à vendre sur Hay Riad,9 500 000 DH,Riyad à Rabat,780 m²,8 Pièces,4 Chambres,4 Salles de bains,Not specified,"['Bon état', ""Moins d'un an""]","['33.98161168590123', '-6.8646525498479605']"
Villa à vendre sur Souissi,13 500 000 DH,Quartier Des Ambassades à Rabat,2500 m²,10 Pièces,5 Chambres,4 Salles de bains,Not specified,"['Bon état', ""Moins d'un an""]","['33.953138012963194', '-6.826543724164367']"
Villa à vendre sur Souissi,11 000 000 DH,Souissi à Rabat,1500 m²,8 Pièces,4 Chambres,4 Salles de bains,Not specified,"['Bon état', ""Moins d'un an""]","['33.953138012963194', '-6.826543724164367']"
Vente d'un bel appartement à Yacoub Al Mansour Surface de 100 m²,1 500 000 DH,Hay Al Massira à Rabat,100 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Appartement en vente à Yacoub Al Mansour. 2 chambres agréables,1 300 000 DH,Hay Ach-chbanat à Rabat,90 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Appartement à l'achat à Yacoub Al Mansour. 2 belles chambres,1 500 000 DH,Hay Al Massira à Rabat,100 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Appartement à l'achat à Yacoub Al Mansour. 2 belles chambres,1 300 000 DH,Hay Al Massira à Rabat,90 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Bel appartement à vendre à Yacoub Al Mansour. Surface de 116 m²,1 750 000 DH,Hay Al Massira à Rabat,116 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Superbe appartement à vendre à Yacoub Al Mansour. 3 chambres agréables,1 750 000 DH,Hay Al Massira à Rabat,116 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Vente d'un bel appartement à Yacoub Al Mansour. Surface totale 97 m²,1 570 000 DH,Hay Al Massira à Rabat,97 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Appartement de 3 chambres à vendre à Yacoub Mansour Rabat,1 750 000 DH,Hay Al Massira à Rabat,116 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
"Villa ancienne a vendre à Hay riad, superficie 270 m²",4 800 000 DH,Riyad à Rabat,270 m²,4 Pièces,3 Chambres,3 Salles de bains,Not specified,"['Bon état', '10-20 ans']","['33.958311531468844', '-6.870403289794922']"
Très bel appartement à vendre orangeraie souissi,4 300 000 DH,Souissi à Rabat,182 m²,4 Pièces,3 Chambres,3 Salles de bains,Not specified,"['Bon état', ""Moins d'un an""]","['33.98161168590123', '-6.8646525498479605']"
Un bel rez de jardin pour la vente à prestigia,1 750 000 DH,Riyad à Rabat,120 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,"['Nouveau', '1-5 ans']","['33.958311531468844', '-6.870403289794922']"
Villa à vendre 2 face ahayriad,4 600 000 DH,Riyad à Rabat,290 m²,5 Pièces,4 Chambres,3 Salles de bains,Not specified,"['Bon état', ""Moins d'un an""]","['33.958311531468844', '-6.870403289794922']"
Villa ancienne à vendre à Souissi. 7 chambres. La superficie: 2570 m²,12 000 000 DH,Souissi à Rabat,2570 m²,7 Pièces,7 Chambres,6 Salles de bains,Not specified,"['Bon état', '5-10 ans']","['33.956353735305164', '-6.836199760437012']"
Bel appartement à vendre à Souissi. 4 chambres. Tout confort avec cheminée et climatisation,5 100 000 DH,Souissi à Rabat,206 m²,5 Pièces,4 Chambres,4 Salles de bains,1er étage,"['Nouveau', '5-10 ans']","['33.956353735305164', '-6.836199760437012']"
Spacieuse villa EN VENTE située a SOUISSI RABAT,11 000 000 DH,Souissi à Rabat,1752 m²,7 Pièces,4 Chambres,3 Salles de bains,Not specified,['Bon état'],"['33.953138012963194', '-6.826543724164367']"
Jolie villa à vendre à Souissi. 6 chambres. Places de parking et beau jardin,10 850 000 DH,Souissi à Rabat,1800 m²,8 Pièces,6 Chambres,5 Salles de bains,Not specified,['Bon état'],"['33.96634891839278', '-6.843662257350825']"
Appartement a vendre au souissi,1 700 000 DH,Souissi à Rabat,76 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,['Bon état'],"['33.953138012963194', '-6.826543724164367']"
Villa en vente sur hay rid,9 200 000 DH,Riyad à Rabat,860 m²,3 Pièces,5 Chambres,5 Salles de bains,Not specified,['Bon état'],"['33.958311531468844', '-6.870403289794922']"
Vente d’un très bel appartement sur L’océan rabat,2 000 000 DH,L'Ocean à Rabat,116 m²,4 Pièces,3 Chambres,3 Salles de bains,4ème étage,"['Bon état', '1-5 ans']","['33.92712382336637', '-6.903190612792969']"
Villa de 2009m² en vente à Hay Riad,13 000 000 DH,Riyad à Rabat,2009 m²,8 Pièces,6 Chambres,4 Salles de bains,Not specified,"['Bon état', ""Moins d'un an""]","['33.98161168590123', '-6.8646525498479605']"
Maison de luxe à vendre à Souissi. 7 chambres agréables. Belle terrasse et jardin,9 500 000 DH,Riyad à Rabat,600 m²,10 Pièces,7 Chambres,6 Salles de bains,Not specified,['Bon état'],"['33.95900625375263', '-6.853836770870856']"
Villa à vendre Souissi,14 000 000 DH,Souissi à Rabat,1820 m²,7 Pièces,4 Chambres,2 Salles de bains,Not specified,['Bon état'],"['33.953138012963194', '-6.826543724164367']"
Part vend bel appart de haut standing,3 800 000 DH,Riyad à Rabat,176 m²,10 Pièces,3 Chambres,3 Salles de bains,4ème étage,"['Bon état', '10-20 ans']","['33.955520615358886', '-6.865914497763337']"
Appartement en vente à Agdal. Surface de 125 m²,1 800 000 DH,Agdal à Rabat,125 m²,1 Pièce,4 Chambres,2 Salles de bains,Not specified,['Bon état'],"['34.00215486111064', '-6.852414594297104']"
Villa neuve aux ambassadeurs,18 000 000 DH,Quartier Des Ambassades à Rabat,2000 m²,8 Pièces,4 Chambres,4 Salles de bains,Not specified,['Nouveau'],"['33.959260698751145', '-6.805292418305838']"
Villa Angle aux quartiers les ambassades,10 000 000 DH,Quartier Des Ambassades à Rabat,2000 m²,8 Pièces,5 Chambres,5 Salles de bains,Not specified,['À rénover'],"['33.942105149293866', '-6.814681814858162']"
Bel apprt pour investir/habitation à MAHAJ RYAD,2 400 000 DH,Riyad à Rabat,109 m²,4 Pièces,2 Chambres,2 Salles de bains,5ème étage,"['Bon état', '10-20 ans']","['33.98161168590123', '-6.8646525498479605']"
Appartement bien situé à vendre,1 000 000 DH,Hay Nahda à Rabat,59 m²,4 Pièces,2 Chambres,1 Salle de bain,Not specified,[],"['33.98141012358193', '-6.810579299926758']"
Rez de jardin à louer à Agdal,3 200 000 DH,Agdal à Rabat,287 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,"['Bon état', '5-10 ans']","['33.98161168590123', '-6.8646525498479605']"
Appartement à l'achat à Yacoub Al Mansour. Surface totale 97 m²,1 570 000 DH,Hay Al Massira à Rabat,97 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Super appartement en vente à Yacoub Al Mansour de 100 m²,1 500 000 DH,Hay Al Massira à Rabat,100 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Appartement à vendre à Yacoub Mansour Surface de 100 m²,1 500 000 DH,Hay Al Massira à Rabat,100 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Appartement de 2 chambres à vendre à Yacoub Mansour Rabat,1 570 000 DH,Hay Al Massira à Rabat,97 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Appartement à l'achat à Yacoub Al Mansour. Surface de 97 m²,1 750 000 DH,Hay Al Massira à Rabat,97 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Vend appartement à Yacoub Al Mansour. 3 belles chambres,2 900 000 DH,Hay Al Massira à Rabat,120 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
"Appartement neuf jamais habitué en vente a souissi rabat, résidence avec piscine",3 400 000 DH,Souissi à Rabat,125 m²,3 Pièces,2 Chambres,2 Salles de bains,4ème étage,"['Nouveau', '1-5 ans']","['33.956353735305164', '-6.836199760437012']"
Villa de haut standing à vendre à Souissi. 4 pièces. Jardin et terrasse,8 500 000 DH,Souissi à Rabat,1050 m²,4 Pièces,5 Chambres,4 Salles de bains,Not specified,['À rénover'],"['33.956353735305164', '-6.836199760437012']"
Appartement 43m Agdal centre,1 050 000 DH,Agdal à Rabat,43 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,['Bon état'],"['34.00037546099115', '-6.850061416625977']"
Villa exceptionnelle a cote ambassade usa,26 000 000 DH,Quartier Des Ambassades à Rabat,2000 m²,9 Pièces,6 Chambres,6 Salles de bains,Not specified,"['Nouveau', '5-10 ans']","['33.953138012963194', '-6.826543724164367']"
Vente Villa à la chaumiere hay riad,8 600 000 DH,Riyad à Rabat,690 m²,8 Pièces,5 Chambres,4 Salles de bains,Not specified,['Bon état'],"['33.98161168590123', '-6.8646525498479605']"
Super jolie villa en Vente à Hay Riad secteur 10,9 000 000 DH,Riyad à Rabat,628 m²,8 Pièces,4 Chambres,4 Salles de bains,Not specified,['Bon état'],"['33.98161168590123', '-6.8646525498479605']"
Splendide villa neuve de 2 mois à souissi,27 000 000 DH,Souissi à Rabat,2300 m²,7 Pièces,4 Chambres,6 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['33.953138012963194', '-6.826543724164367']"
Villa meublée très luxe à souissi,10 000 000 EUR,Souissi à Rabat,5000 m²,17 Pièces,11 Chambres,8 Salles de bains,Not specified,"['Nouveau', '1-5 ans']","['33.956353735305164', '-6.836199760437012']"
"Jolie villa 3 niveaux, pleine sud",5 500 000 DH,Riyad à Rabat,300 m²,8 Pièces,5 Chambres,4 Salles de bains,Not specified,"['Bon état', '20-30 ans']","['33.957382458029365', '-6.876035844907079']"
Villa bonne affaire au secteur 18 HAY RIAD,6 800 000 DH,Riyad à Rabat,450 m²,9 Pièces,4 Chambres,4 Salles de bains,Not specified,"['Bon état', '5-10 ans']","['33.98161168590123', '-6.8646525498479605']"
Villa luxueuse a Hay Riad Rabat,9 000 000 DH,Riyad à Rabat,491 m²,6 Pièces,4 Chambres,3 Salles de bains,Not specified,['Nouveau'],"['33.98161168590123', '-6.8646525498479605']"
On met en vente un superbe appartement sur Haut agdal rabat,2 225 000 DH,Haut Agdal à Rabat,116 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.98995038663034', '-6.8454694747924805']"
Vente Villa Rabat Aviation,10 000 000 DH,Aviation - Mabella à Rabat,840 m²,7 Pièces,4 Chambres,2 Salles de bains,Not specified,['Bon état'],"['33.99043658867649', '-6.813497543334961']"
Vente Appartement Rabat Hay Riad Prestigia,3 500 000 DH,Riyad à Rabat,180 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Bon état'],"['33.98161168590123', '-6.8646525498479605']"
Somptueuse maison à vendre à Riyad. 3 pièces confortables. Jardin et terrasse,7 800 000 DH,Riyad à Rabat,720 m²,3 Pièces,4 Chambres,3 Salles de bains,Not specified,"['Bon état', '10-20 ans']","['33.95586615305472', '-6.869239372491455']"
Appartement à vendre à l'agdal,2 430 000 DH,Agdal à Rabat,135 m²,3 Pièces,3 Chambres,2 Salles de bains,Not specified,['Bon état'],"['34.00037546099115', '-6.850061416625977']"
Appartement à vendre à l'agdal,1 600 000 DH,Agdal à Rabat,82 m²,2 Pièces,2 Chambres,2 Salles de bains,Not specified,['Bon état'],"['34.00037546099115', '-6.850061416625977']"
Appartement en vente a hay riad,3 700 000 DH,Riyad à Rabat,175 m²,2 Pièces,4 Chambres,3 Salles de bains,2ème étage,['Bon état'],"['33.958311531468844', '-6.870403289794922']"
Location d'un bel appartement à l'Agdal,3 700 000 DH,Agdal à Rabat,163 m²,5 Pièces,3 Chambres,2 Salles de bains,3ème étage,"['Bon état', '5-10 ans']","['33.98161168590123', '-6.8646525498479605']"
Appartement à Vendre à Hay Almenzeh,1 600 000 DH,Hay El Menzah à Rabat,110 m²,4 Pièces,3 Chambres,2 Salles de bains,4ème étage,"['Bon état', '10-20 ans']","['33.98872875349013', '-6.878900527954102']"
Vente spacieuse appartement de 155 m2 à KEBIBAT RABAT,1 470 000 DH,Kébibat à Rabat,155 m²,3 Pièces,2 Chambres,2 Salles de bains,5ème étage,"['Bon état', '20-30 ans']","['34.0208660754302', '-6.837058067321777']"
Magnifique villa à vendre à Souissi. 4 pièces confortables. Garage et terrasse,11 000 000 DH,Souissi à Rabat,2010 m²,4 Pièces,4 Chambres,4 Salles de bains,Not specified,['Bon état'],"['33.956353735305164', '-6.836199760437012']"
Villa à vendre à Souissi Rabat,11 000 000 DH,Souissi à Rabat,1926 m²,7 Pièces,4 Chambres,2 Salles de bains,Not specified,"['Bon état', '10-20 ans']","['33.953138012963194', '-6.826543724164367']"
Somptueuse maison à vendre à Quartier Des Ambassades. Surface de 2000 m². Tout confort avec piscine et cheminée,17 000 000 DH,Quartier Des Ambassades à Rabat,2000 m²,4 Pièces,5 Chambres,6 Salles de bains,Not specified,['Bon état'],"['33.94827289993959', '-6.816415786743164']"
Magnifique villa à vendre à Souissi. 4 pièces confortables. Belle terrasse et jardin,16 500 000 DH,Souissi à Rabat,1900 m²,4 Pièces,5 Chambres,6 Salles de bains,Not specified,['Bon état'],"['33.956353735305164', '-6.836199760437012']"
Vente Villa Rabat Souissi,12 000 000 DH,Souissi à Rabat,2000 m²,15 Pièces,5 Chambres,3 Salles de bains,Not specified,['Bon état'],"['33.953138012963194', '-6.826543724164367']"
Vente Villa Rabat Souissi,13 500 000 DH,Souissi à Rabat,2474 m²,10 Pièces,5 Chambres,5 Salles de bains,Not specified,['Bon état'],"['33.953138012963194', '-6.826543724164367']"
Vente Appartement Rabat Souissi Orangeraie,5 000 000 DH,Souissi à Rabat,260 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.953138012963194', '-6.826543724164367']"
Vente Villa Rabat Hay Riad,9 000 000 DH,Riyad à Rabat,675 m²,9 Pièces,4 Chambres,4 Salles de bains,Not specified,['Bon état'],"['33.98161168590123', '-6.8646525498479605']"
Vente Appartement Rabat Hay Riad,2 800 000 DH,Riyad à Rabat,130 m²,6 Pièces,3 Chambres,2 Salles de bains,Not specified,['Bon état'],"['33.98161168590123', '-6.8646525498479605']"
Vente Villa Rabat Agdal,6 000 000 DH,Agdal à Rabat,345 m²,7 Pièces,4 Chambres,1 Salle de bain,Not specified,['Bon état'],"['33.99335', '-6.8485']"
Vente Villa Rabat Hay Riad,6 500 000 DH,Riyad à Rabat,235 m²,7 Pièces,4 Chambres,1 Salle de bain,Not specified,['Bon état'],"['33.95595', '-6.87263']"
Vente Villa Rabat Souissi,30 000 000 DH,Souissi à Rabat,6489 m²,11 Pièces,5 Chambres,2 Salles de bains,Not specified,[],"['33.96725', '-6.84198']"
Vente Appartement Rabat Souissi Orangeraie,4 000 000 DH,Souissi à Rabat,141 m²,3 Pièces,2 Chambres,1 Salle de bain,3ème étage,['Bon état'],"['33.94472', '-6.83762']"
Vente villa à Aviation Mabella,4 100 000 DH,Aviation - Mabella à Rabat,500 m²,5 Pièces,3 Chambres,3 Salles de bains,Not specified,['À rénover'],"['33.99379322501359', '-6.823840141296387']"
Appartement en vente à Souissi. Superficie 280 m². Places de stationnement et terrasse,5 500 000 DH,Souissi à Rabat,289 m²,2 Pièces,3 Chambres,3 Salles de bains,Not specified,['Bon état'],"['33.956353735305164', '-6.836199760437012']"
Appartement à vendre à Rabat Prestigia,3 200 000 DH,Riyad à Rabat,160 m²,5 Pièces,2 Chambres,2 Salles de bains,Not specified,['Bon état'],"['33.98161168590123', '-6.8646525498479605']"
Appartement à vendre à Jnane Souissi,4 200 000 DH,Souissi à Rabat,248 m²,5 Pièces,3 Chambres,3 Salles de bains,Not specified,"['Bon état', '10-20 ans']","['33.953138012963194', '-6.826543724164367']"
Jolie villa avec piscine et vue dégagée à El Menzeh,6 200 000 DH,Rabat,460 m²,6 Pièces,5 Chambres,3 Salles de bains,Not specified,[],"['33.97012854423725 ', '-6.843280792236328']"
Villa Luxueuse de 700m² avec Piscine,7 500 000 DH,Souissi à Rabat,700 m²,12 Pièces,6 Chambres,6 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['33.953138012963194', '-6.826543724164367']"
Appt 102 en vente HASSAN,1 400 000 DH,Hassan - Centre Ville à Rabat,102 m²,3 Pièces,2 Chambres,2 Salles de bains,4ème étage,"['Bon état', '5-10 ans']","['34.02150632745047', '-6.830148696899414']"
Charmante Villa a Vendre,12 000 000 DH,Quartier Des Ambassades à Rabat,2001 m²,7 Pièces,5 Chambres,4 Salles de bains,Not specified,"['Bon état', '20-30 ans']","['33.94827289993959', '-6.816415786743164']"
Vente appartement meublé 104m² Hassan Rabat,1 800 000 DH,Hassan - Centre Ville à Rabat,104 m²,5 Pièces,3 Chambres,2 Salles de bains,2ème étage,"['Bon état', '5-10 ans']","['34.0208660754302', '-6.837058067321777']"
Av villa a renover sur 2000 m2 rabat souissi,12 800 000 DH,Souissi à Rabat,2000 m²,8 Pièces,4 Chambres,4 Salles de bains,Not specified,"['À rénover', '10-20 ans']","['33.956353735305164', '-6.836199760437012']"
Av exceptionnelle villa neuve rabat souissi,37 000 000 DH,Souissi à Rabat,1000 m²,14 Pièces,4 Chambres,4 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['33.956353735305164', '-6.836199760437012']"
Somptueuse maison à vendre à Souissi. 4 chambres agréables. Terrasse et jardin,12 000 000 DH,Souissi à Rabat,1200 m²,3 Pièces,4 Chambres,4 Salles de bains,Not specified,['Nouveau'],"['33.956353735305164', '-6.836199760437012']"
Villa de haut standing en vente a Souissi,11 000 000 DH,Souissi à Rabat,1752 m²,7 Pièces,4 Chambres,3 Salles de bains,Not specified,['Bon état'],"['33.97362656300437', '-6.854027592566251']"
Villa a démolir à vendre à Souissi. Superficie 1850 m²,9 200 000 DH,Souissi à Rabat,1850 m²,5 Pièces,4 Chambres,3 Salles de bains,Not specified,"['À rénover', '10-20 ans']","['33.956353735305164', '-6.836199760437012']"
Luxueuse villa neuve 700 m² à Basatine El Manzeh,7 950 000 DH,Souissi à Rabat,700 m²,6 Pièces,5 Chambres,5 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['33.953138012963194', '-6.826543724164367']"
Appartement à vendre à Agdal. 3 chambres agréables. Cuisine bien équipée,2 650 000 DH,Agdal à Rabat,173 m²,5 Pièces,3 Chambres,3 Salles de bains,1er étage,"['Bon état', '10-20 ans']","['33.9969310038316', '-6.8458202861711905']"
Villa neuve tres luxueuse à Souissi,45 000 000 DH,Souissi à Rabat,2600 m²,8 Pièces,5 Chambres,6 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['33.956353735305164', '-6.836199760437012']"
Tres belle villa neuve à bir kassem,39 000 000 DH,Souissi à Rabat,3200 m²,9 Pièces,6 Chambres,6 Salles de bains,Not specified,"['Nouveau', '1-5 ans']","['33.953138012963194', '-6.826543724164367']"
Villas exceptinnelle aux ambassadeurs,40 000 000 DH,Quartier Des Ambassades à Rabat,3200 m²,9 Pièces,7 Chambres,7 Salles de bains,Not specified,"['Nouveau', '5-10 ans']","['33.953138012963194', '-6.826543724164367']"
Vente villa neuve à souissi à cote moulay rachid,35 000 000 DH,Souissi à Rabat,2000 m²,8 Pièces,5 Chambres,5 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['33.953138012963194', '-6.826543724164367']"
Villa moderne a vendre à HAYRIAD,9 500 000 DH,Riyad à Rabat,500 m²,8 Pièces,5 Chambres,4 Salles de bains,Not specified,"['Bon état', '10-20 ans']","['33.98161168590123', '-6.8646525498479605']"
"Appartement à vendre 79 m², 2 chambres Hay Al Kora Rabat",1 100 000 DH,Hay Al Kora à Rabat,79 m²,Not specified,2 Chambres,1 Salle de bain,4ème étage,[],"['33.99272578734029', '-6.881046295166016']"
"Appartement à vendre 117 m², 2 chambres Hassan Centre Ville Rabat",2 170 000 DH,Hassan - Centre Ville à Rabat,117 m²,Not specified,2 Chambres,1 Salle de bain,4ème étage,[],"['34.02150632745047', '-6.830148696899414']"
Appartement 124m² à Rabat,2 160 000 DH,Hassan - Centre Ville à Rabat,174 m²,4 Pièces,3 Chambres,3 Salles de bains,1er étage,"['Nouveau', ""Moins d'un an""]","['34.024877295735116', '-6.825880891892044']"
Appartement Neuf Ribat Center,25 000 DH,Agdal à Rabat,85 m²,6 Pièces,3 Chambres,2 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['33.98161168590123', '-6.8646525498479605']"
Villa a démolir à vendre à Souissi. Superficie 2700 m²,12 000 000 DH,Souissi à Rabat,2700 m²,5 Pièces,4 Chambres,4 Salles de bains,Not specified,"['À rénover', '10-20 ans']","['33.956353735305164', '-6.836199760437012']"
Haut Standing Sans vis à vis Rabat Hassan,3 100 000 DH,Hassan - Centre Ville à Rabat,144 m²,6 Pièces,3 Chambres,3 Salles de bains,3ème étage,['Bon état'],"['34.0208660754302', '-6.837058067321777']"
Villa à vendre à Hay Riad Rabat,5 300 000 DH,Riyad à Rabat,289 m²,9 Pièces,6 Chambres,4 Salles de bains,Not specified,['Bon état'],"['33.98161168590123', '-6.8646525498479605']"
Villa a vendre au souissi,9 500 000 DH,Souissi à Rabat,1500 m²,10 Pièces,6 Chambres,6 Salles de bains,Not specified,['À rénover'],"['33.965092844193165', '-6.827478327322751']"
Villa neuve et contemporaine,17 000 000 DH,Souissi à Rabat,2000 m²,6 Pièces,3 Chambres,3 Salles de bains,Not specified,['Nouveau'],"['33.953138012963194', '-6.826543724164367']"
Une magnifique villa à vendre,27 000 000 DH,Souissi à Rabat,2200 m²,10 Pièces,7 Chambres,6 Salles de bains,Not specified,"['Nouveau', '5-10 ans']","['33.956353735305164', '-6.836199760437012']"
Villa à vendre à hay riad,5 600 000 DH,Riyad à Rabat,337 m²,6 Pièces,3 Chambres,3 Salles de bains,Not specified,"['Bon état', '10-20 ans']","['33.958311531468844', '-6.870403289794922']"
A vendre grande villa contemporaine a Souissi,16 000 000 DH,Souissi à Rabat,1900 m²,15 Pièces,12 Chambres,11 Salles de bains,Not specified,"['Bon état', '10-20 ans']","['33.953138012963194', '-6.826543724164367']"
