Title,Price,Neighborhood,Size,Rooms,Bedrooms,Bathrooms,Floors,Additional Information,Location
Joli Appartement vide à Jnane Californie,5 500 DH,Californie à Casablanca,64 m²,3 Pièces,3 Chambres,2 Salles de bains,4ème étage,"['Nouveau', '1-5 ans']","['33.5320075462679', '-7.616862947014511']"
Appartement Non Meublé 90 m² à Bourgogne Casablanca,7 500 DH,Bourgogne Ouest à Casablanca,90 m²,1 Pièce,2 Chambres,2 Salles de bains,3ème étage,"['Bon état', '1-5 ans']","['33.598304662993705', '-7.644252777099609']"
Location d'un appartement à Ferme Bretonne Hay Arraha. 2 belles chambres. Meublé,13 000 DH,Ferme Bretonne (Hay Arraha) à Casablanca,126 m²,2 Pièces,2 Chambres,3 Salles de bains,4ème étage,"['Bon état', '5-10 ans']","['33.5608510182527', '-7.647085189819336']"
Location studio Miramar,5 500 DH,Quartier du Parc à Mohammedia,57 m²,1 Pièce,1 Chambre,1 Salle de bain,6ème étage,"['Bon état', '1-5 ans']","['33.69220952001667', '-7.381267547607422']"
Superbe appartement Meuble à Gauthier 95m2,8 700 DH,Gauthier à Casablanca,95 m²,3 Pièces,2 Chambres,2 Salles de bains,1er étage,"['Bon état', '10-20 ans']","['33.588372761977645', '-7.631369594456284']"
Appt meuble avec grande terrasse 115m2,9 300 DH,Bourgogne Ouest à Casablanca,115 m²,3 Pièces,2 Chambres,2 Salles de bains,5ème étage,"['Bon état', '10-20 ans']","['33.60019330690821', '-7.647268470271613']"
"Appartement 2 chambres terrasse, Ain Diab",24 000 DH,Ain Diab Extension à Casablanca,200 m²,3 Pièces,2 Chambres,3 Salles de bains,5ème étage,"['Nouveau', '1-5 ans']","['33.578710961963864', '-7.68525798712536']"
Studio neuf sur les princesses,6 500 DH,Les princesses à Casablanca,50 m²,2 Pièces,1 Chambre,1 Salle de bain,2ème étage,"['Nouveau', ""Moins d'un an""]","['33.57154299116339', '-7.636313438415527']"
Studio Double en location pour les étudiants,1 000 DH,Smaâla à Settat,30 m²,1 Pièce,Not specified,1 Salle de bain,Not specified,['Nouveau'],"['33.02913677099996', '-7.614215830675487']"
Top Villa meublée vue sur mer à la location,32 000 DH,Ain Diab à Casablanca,450 m²,4 Pièces,4 Chambres,4 Salles de bains,Not specified,['Bon état'],"['33.586300387006325', '-7.671375274658203']"
Top appartement meublé avec terasse au dernier ETG,9 500 DH,Triangle d'Or à Casablanca,150 m²,3 Pièces,2 Chambres,2 Salles de bains,5ème étage,['Bon état'],"['33.598304662993705', '-7.644252777099609']"
Bel appartement 2 chambres vide à casa finance city,12 000 DH,Casablanca Finance City à Casablanca,130 m²,2 Pièces,2 Chambres,2 Salles de bains,9ème étage,"['Bon état', '5-10 ans']","['33.547117579470296', '-7.675495147705078']"
Appartement moderne meublée avec terrasse,10 000 DH,Bourgogne Ouest à Casablanca,110 m²,3 Pièces,2 Chambres,2 Salles de bains,5ème étage,"['Bon état', '5-10 ans']","['33.582734173084866', '-7.675838470458984']"
19000 dhs Opportunité location villa 4 chambres à presigia bouskoura,19 000 DH,Bouskoura,380 m²,5 Pièces,4 Chambres,3 Salles de bains,Not specified,"['Bon état', '5-10 ans']","['33.44032295498702', '-7.643909454345703']"
Studio meublé à louer CFC,9 000 DH,Casablanca Finance City à Casablanca,58 m²,2 Pièces,1 Chambre,2 Salles de bains,Not specified,['Nouveau'],"['33.547117579470296', '-7.675495147705078']"
Appartement 3 chambres avec chambre personnel non meublé en etage élevé à louer,19 000 DH,Casablanca Finance City à Casablanca,230 m²,5 Pièces,3 Chambres,4 Salles de bains,Not specified,['Nouveau'],"['33.596175974504256', '-7.657470703125']"
Appartement 2 chambres meublé à louer CFC,17 000 DH,Casablanca Finance City à Casablanca,130 m²,3 Pièces,2 Chambres,2 Salles de bains,9ème étage,"['Nouveau', ""Moins d'un an""]","['33.5585265011327', '-7.605092525482178']"
Studio meuble en location à Casablanca Finance City. Meublé,10 000 DH,Casablanca Finance City à Casablanca,75 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,"['Nouveau', ""Moins d'un an""]","['32.34023266790936', '-7.437744140625001']"
Appartement meublé sur Racine,13 500 DH,Racine à Casablanca,110 m²,2 Pièces,2 Chambres,2 Salles de bains,3ème étage,"['Bon état', '1-5 ans']","['33.58891909184208', '-7.628674507141114']"
Studio loft à louer Maarif,5 000 DH,Maârif à Casablanca,60 m²,1 Pièce,1 Chambre,1 Salle de bain,3ème étage,"['Nouveau', '1-5 ans']","['33.560851018252706', '-7.647085189819336']"
Location studio vide Maarif,4 500 DH,Maârif à Casablanca,50 m²,1 Pièce,1 Chambre,1 Salle de bain,3ème étage,"['Nouveau', '1-5 ans']","['33.44032295498702', '-7.643909454345703']"
Appartement à louer bd ghandi,13 500 DH,Maârif Extension à Casablanca,208 m²,3 Pièces,3 Chambres,3 Salles de bains,1er étage,"['Bon état', '1-5 ans']","['33.591975636541555', '-7.624061107635498']"
Appartement 3 chambres neuf meublé à louer Gauthier,12 000 DH,Gauthier à Casablanca,120 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.58602331802259', '-7.636442184448242']"
Appartement 2 chambres non meublé à louer à Maarif résidence fermée,7 800 DH,Maârif à Casablanca,100 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.582734173084866', '-7.675838470458984']"
"Appartement 2 chambres 80 m² à louer, Belvédère",4 500 DH,Belvédère à Casablanca,80 m²,4 Pièces,2 Chambres,1 Salle de bain,3ème étage,['Bon état'],"['33.58588031432803', '-7.58082389831543']"
Très joli appartement meublé à la location à Maarif,7 500 DH,Maârif à Casablanca,110 m²,5 Pièces,2 Chambres,2 Salles de bains,5ème étage,"['Bon état', '1-5 ans']","['33.58602331802259', '-7.636442184448242']"
Studio meublé avec balcon à louer quartier Palmier,7 200 DH,Palmier à Casablanca,45 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,['Nouveau'],"['33.53595755299843', '-7.625627517700195']"
Top appartement de 2ch avec deux grandes terrasses,8 500 DH,Racine à Casablanca,160 m²,3 Pièces,2 Chambres,2 Salles de bains,3ème étage,['Bon état'],"['33.592458238962855', '-7.648158073425293']"
Top Appartement meublé de 2 ch proche lycée Lyautey,6 500 DH,Bourgogne Est à Casablanca,100 m²,3 Pièces,2 Chambres,1 Salle de bain,5ème étage,['Bon état'],"['33.59735836932222', '-7.632316019526826']"
Luxueuse villa a louer à dar bouazza deuxieme tranche des jardins de l ocean Bien meublé,48 000 DH,Hay Hassani à Casablanca,608 m²,5 Pièces,4 Chambres,5 Salles de bains,5ème étage,"['Nouveau', '5-10 ans']","['33.57229388264518', '-7.678842544555664']"
Appartement en location à Les princesses. 1 Pièce. Bien meublé,8 000 DH,Les princesses à Casablanca,43 m²,1 Pièce,1 Chambre,1 Salle de bain,2ème étage,"['Nouveau', ""Moins d'un an""]","['33.57892318440468', '-7.647706444430798']"
Appartement charmant meublée Racine,10 500 DH,Maârif à Casablanca,100 m²,5 Pièces,3 Chambres,2 Salles de bains,5ème étage,"['Nouveau', '5-10 ans']","['33.57154299116339', '-7.636313438415527']"
Appartment avec picine,4 200 DH,Plage Oued Cherrat à Bouznika,98 m²,3 Pièces,3 Chambres,1 Salle de bain,Not specified,"['Bon état', '1-5 ans']","['32.34023266790936', '-7.437744140625001']"
Appartement à louer au quartier Laymoun Casablanca,4 700 DH,Laymoune à Casablanca,60 m²,3 Pièces,2 Chambres,1 Salle de bain,2ème étage,"['Nouveau', ""Moins d'un an""]","['33.54371964707593', '-7.665281295776367']"
Exceptionnel appartement Ferme Bretonne,7 500 DH,Anfa à Casablanca,48 m²,2 Pièces,1 Chambre,1 Salle de bain,3ème étage,"['Bon état', '1-5 ans']","['33.596175974504256', '-7.657470703125']"
Location d'un appartement à Maârif Extension. 2 belles chambres. Double vitrage et porte blindée,5 500 DH,Maârif Extension à Casablanca,78 m²,3 Pièces,2 Chambres,1 Salle de bain,2ème étage,"['Bon état', '10-20 ans']","['33.57696833784171', '-7.640116109167462']"
Grand appartement haut de gamme,7 000 DH,Aïn Sebaâ à Casablanca,200 m²,6 Pièces,4 Chambres,4 Salles de bains,2ème étage,"['Nouveau', ""Moins d'un an""]","['33.61800907410269', '-7.539584723255531']"
Appartement à louer,5 000 DH,Mers Sultan à Casablanca,60 m²,1 Pièce,1 Chambre,1 Salle de bain,3ème étage,"['Bon état', '10-20 ans']","['33.57708513162621', '-7.602968215942383']"
Appartement avec des meuble rénové Gauthier,7 000 DH,Gauthier à Casablanca,70 m²,3 Pièces,2 Chambres,1 Salle de bain,5ème étage,"['Bon état', ""Moins d'un an""]","['33.5902271556563', '-7.630361422385519']"
Studio à louer pour les étudiants,750 DH,Smaâla à Settat,40 m²,1 Pièce,Not specified,1 Salle de bain,Not specified,['Nouveau'],"['33.02913677099996', '-7.614215830675487']"
Somptueuse villa à louer vide à anfa de 700 m avec piscine et jardin,39 000 DH,Anfa à Casablanca,700 m²,5 Pièces,4 Chambres,3 Salles de bains,Not specified,['Bon état'],"['33.582734173084866', '-7.675838470458984']"
Superbe studio plien bd Elmassira en face onomo,7 000 DH,Racine à Casablanca,60 m²,2 Pièces,1 Chambre,1 Salle de bain,4ème étage,"['Bon état', '5-10 ans']","['33.592458238962855', '-7.648158073425293']"
Bel appartement meublé / vue golf Bouskoura,18 000 DH,Bouskoura,220 m²,5 Pièces,3 Chambres,3 Salles de bains,Not specified,"['Bon état', '1-5 ans']","['33.44032295498702', '-7.643909454345703']"
Studio meublé pour les étudiant Prix par personn,750 DH,Smaâla à Settat,40 m²,1 Pièce,Not specified,1 Salle de bain,Not specified,['Nouveau'],"['33.02913677099996', '-7.614215830675487']"
Location d'un appartement à Casablanca Finance City. Superficie 150 m². Fenêtres double vitrage et chauffage central,14 000 DH,Casablanca Finance City à Casablanca,150 m²,3 Pièces,2 Chambres,2 Salles de bains,12ème étage,"['Nouveau', ""Moins d'un an""]","['32.34023266790936', '-7.437744140625001']"
Bel app duplexe,18 000 DH,Bouskoura,200 m²,6 Pièces,4 Chambres,3 Salles de bains,Not specified,['Bon état'],"['33.44032295498702', '-7.643909454345703']"
Studio individuel meublé pour les étudiants,1 400 DH,Smaâla à Settat,23 m²,1 Pièce,Not specified,1 Salle de bain,Not specified,['Nouveau'],"['33.02913677099996', '-7.614215830675487']"
Top Appartement meublé de 2 ch proche lycée Lyautey,6 500 DH,Bourgogne Est à Casablanca,100 m²,3 Pièces,2 Chambres,1 Salle de bain,5ème étage,['Bon état'],"['33.59735836932222', '-7.632316019526826']"
Top studio meublé la location,6 500 DH,Maârif à Casablanca,60 m²,2 Pièces,1 Chambre,1 Salle de bain,1er étage,['Bon état'],"['33.44032295498702', '-7.643909454345703']"
Luxueux appartement meublé de 3 ch ch perso,21 000 DH,Racine à Casablanca,180 m²,4 Pièces,3 Chambres,3 Salles de bains,5ème étage,['Bon état'],"['33.59169573978324', '-7.641288461763851']"
Studio moderne meublé à la location,7 000 DH,Racine à Casablanca,55 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,['Bon état'],"['33.592440364847256', '-7.648158073425293']"
Appartement 2 ch sans vis à vis au dernier étage,8 500 DH,Racine à Casablanca,100 m²,3 Pièces,2 Chambres,2 Salles de bains,5ème étage,['Bon état'],"['33.592458238962855', '-7.648158073425293']"
Top Appartement avec terrasse au dernier étage,12 500 DH,Triangle d'Or à Casablanca,140 m²,3 Pièces,2 Chambres,2 Salles de bains,5ème étage,['Bon état'],"['33.592458238962855', '-7.648158073425293']"
Top appartement meublé avec grande terrasse,12 000 DH,Racine à Casablanca,150 m²,3 Pièces,2 Chambres,2 Salles de bains,1er étage,['Bon état'],"['33.592458238962855', '-7.648158073425293']"
Top appartement 3 ch dernier étage sans vis à vis,16 000 DH,Racine à Casablanca,175 m²,4 Pièces,3 Chambres,3 Salles de bains,5ème étage,['Bon état'],"['33.592458238962855', '-7.648158073425293']"
Top appartement neuf avec grande terrasse,8 300 DH,Maârif Extension à Casablanca,156 m²,4 Pièces,3 Chambres,2 Salles de bains,1er étage,['Nouveau'],"['33.57987394514172', '-7.646827697753906']"
Appartement meublé de 3 ch meublé à la location,12 000 DH,Gauthier à Casablanca,125 m²,4 Pièces,3 Chambres,3 Salles de bains,4ème étage,['Bon état'],"['33.58891909184207', '-7.628674507141113']"
Appartement meublé sans vis à vis vue sur piscine,10 000 DH,Bouskoura,100 m²,3 Pièces,2 Chambres,2 Salles de bains,2ème étage,['Bon état'],"['33.44032295498702', '-7.643909454345703']"
Top Appartement meublé de 3 ch chambre perso,16 000 DH,Triangle d'Or à Casablanca,155 m²,4 Pièces,3 Chambres,3 Salles de bains,2ème étage,['Bon état'],"['33.592440364847256', '-7.648158073425293']"
Appartement 2 chambres non meublé à louer Ferme bretonne,8 000 DH,Ferme Bretonne (Hay Arraha) à Casablanca,86 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.547117579470296', '-7.675495147705078']"
Tres belle villa vide avec piscine a ain diab,32 000 DH,Ain Diab à Casablanca,450 m²,5 Pièces,4 Chambres,3 Salles de bains,Not specified,"['Bon état', '5-10 ans']","['33.582734173084866', '-7.675838470458984']"
Superbe studio moderne à racine à la location,8 500 DH,Racine à Casablanca,58 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,"['Bon état', '1-5 ans']","['33.582734173084866', '-7.675838470458984']"
Appartement avec des meuble rénové Gauthier,7 000 DH,Gauthier à Casablanca,70 m²,3 Pièces,2 Chambres,1 Salle de bain,5ème étage,"['Bon état', ""Moins d'un an""]","['33.5902271556563', '-7.630361422385519']"
STOP Affaire Appartement ensoleillé plein Gauthier,8 500 DH,Anfa à Casablanca,125 m²,10 Pièces,3 Chambres,2 Salles de bains,5ème étage,"['Bon état', '10-20 ans']","['33.582734173084866', '-7.675838470458984']"
Location d'un appartement à Hay Palestine. 1 Pièce. Bien meublé.,6 000 DH,Roches Noires à Casablanca,110 m²,1 Pièce,2 Chambres,2 Salles de bains,3ème étage,"['Bon état', '10-20 ans']","['33.595905247023644', '-7.593526925487426']"
Appart de 3 chambres meublé,7 600 DH,La Gironde à Casablanca,114 m²,3 Pièces,3 Chambres,1 Salle de bain,6ème étage,"['Bon état', '10-20 ans']","['33.57708513162621', '-7.602968215942383']"
APPT 48 m²,3 700 DH,Alsace Lorraine à Casablanca,48 m²,1 Pièce,1 Chambre,1 Salle de bain,5ème étage,"['Bon état', '5-10 ans']","['33.58408002798102', '-7.61541072490735']"
Très bel appartement en location à Hay Hassani. Surface totale 42 m². Porte blindée et parabole,4 500 DH,Hay Hassani à Casablanca,42 m²,1 Pièce,1 Chambre,1 Salle de bain,2ème étage,"['Nouveau', ""Moins d'un an""]","['33.547117579470296', '-7.675495147705078']"
Location appartement meublé à diar al andalouss,3 700 DH,Bouskoura,60 m²,1 Pièce,2 Chambres,2 Salles de bains,3ème étage,"['Nouveau', '1-5 ans']","['33.44032295498702', '-7.643909454345703']"
Appartement neuf meublé à louer,8 800 DH,Les Hôpitaux à Casablanca,116 m²,4 Pièces,3 Chambres,3 Salles de bains,1er étage,"['Nouveau', ""Moins d'un an""]","['32.34023266790936', '-7.437744140625001']"
Appartement la cité ouled ziane,4 500 DH,Ain Borja à Casablanca,115 m²,5 Pièces,2 Chambres,2 Salles de bains,2ème étage,"['Bon état', '20-30 ans']","['33.58588031432803', '-7.58082389831543']"
Studio neuf Palmier,9 000 DH,Palmier à Casablanca,54 m²,1 Pièce,1 Chambre,1 Salle de bain,2ème étage,"['Nouveau', ""Moins d'un an""]","['33.580946541729524', '-7.629060745239258']"
Studio meublé sur palmier,6 500 DH,Palmier à Casablanca,55 m²,2 Pièces,1 Chambre,1 Salle de bain,1er étage,"['Bon état', '1-5 ans']","['33.580946541729524', '-7.629060745239258']"
"Villa allouer piscine, meublée résidence sécurise",13 500 DH,Dar Bouazza,200 m²,7 Pièces,4 Chambres,4 Salles de bains,Not specified,"['Bon état', '1-5 ans']","['33.51741153987773', '-7.819862365722656']"
Studio Double en location pour les étudiants,1 000 DH,Smaâla à Settat,30 m²,1 Pièce,Not specified,1 Salle de bain,Not specified,['Nouveau'],"['33.02913677099996', '-7.614215830675487']"
Studio neuf 49 m² Les Princesses,9 000 DH,Les princesses à Casablanca,49 m²,2 Pièces,1 Chambre,1 Salle de bain,2ème étage,"['Nouveau', ""Moins d'un an""]","['33.57857966040806', '-7.651522636151641']"
Bel appartement en location à Racine,20 000 DH,Racine à Casablanca,260 m²,6 Pièces,5 Chambres,4 Salles de bains,3ème étage,['Bon état'],"['33.592458238962855', '-7.648158073425293']"
Location d'une Belle villa à Prestigia Bouskoura,19 000 DH,Bouskoura,380 m²,4 Pièces,4 Chambres,3 Salles de bains,Not specified,['Bon état'],"['32.34023266790936', '-7.437744140625001']"
Très beau studio meublé avec terrasse CFC,9 500 DH,Casablanca Finance City à Casablanca,60 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,['Nouveau'],"['33.547117579470296', '-7.675495147705078']"
Appartement dernier étage terrasse meublé Racine,9 000 DH,Racine à Casablanca,100 m²,5 Pièces,2 Chambres,1 Salle de bain,Not specified,['Nouveau'],"['33.582734173084866', '-7.675838470458984']"
Rare Villa vide à la location à Californie,21 000 DH,Californie à Casablanca,800 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,"['Bon état', '5-10 ans']","['33.5320075462679', '-7.616862947014511']"
Appart meublé avec terrasse à racine à la location,15 000 DH,Racine Extension à Casablanca,136 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,"['Bon état', '5-10 ans']","['33.582734173084866', '-7.675838470458984']"
26000.00 dhs villa pour la location à bouskoura,26 000 DH,Bouskoura,600 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,"['Bon état', '1-5 ans']","['33.44032295498702', '-7.643909454345703']"
Tres belle Villa en location à AINDIAB,30 000 DH,Ain Diab Extension à Casablanca,450 m²,5 Pièces,4 Chambres,3 Salles de bains,Not specified,['Bon état'],"['33.57987394514173', '-7.646827697753906']"
Location appartement meublé 2 chambres à racine,9 000 DH,Racine Extension à Casablanca,110 m²,3 Pièces,2 Chambres,1 Salle de bain,Not specified,"['Bon état', '5-10 ans']","['33.582734173084866', '-7.675838470458984']"
Studio meublé moderne avec terrasse a racine,7 500 DH,Racine à Casablanca,60 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,['Bon état'],"['33.582734173084866', '-7.675838470458984']"
Superbe villa location à cgi Bouskoura,25 000 DH,Bouskoura,600 m²,5 Pièces,4 Chambres,3 Salles de bains,Not specified,"['Bon état', '1-5 ans']","['33.44032295498702', '-7.643909454345703']"
28000 location villa jumelée à bouskoura,28 000 DH,Bouskoura,550 m²,5 Pièces,4 Chambres,3 Salles de bains,Not specified,"['Bon état', '1-5 ans']","['33.44032295498702', '-7.643909454345703']"
18000 dhs villa à la location à bouskoura,18 000 DH,Bouskoura,280 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,"['Bon état', '1-5 ans']","['33.44032295498702', '-7.643909454345703']"
Belle Villa Vide à CALIFORNIE à la location,45 000 DH,Californie à Casablanca,1000 m²,10 Pièces,Not specified,3 Salles de bains,Not specified,"['Bon état', '5-10 ans']","['33.5320075462679', '-7.616862947014511']"
Très belle villa vide à la location à anfa,45 000 DH,Anfa à Casablanca,1200 m²,6 Pièces,4 Chambres,3 Salles de bains,Not specified,"['Bon état', '5-10 ans']","['33.582734173084866', '-7.675838470458984']"
Location appartement avec terrasse a Bourgogne,11 000 DH,Bourgogne Ouest à Casablanca,110 m²,3 Pièces,2 Chambres,2 Salles de bains,2ème étage,"['Bon état', '5-10 ans']","['33.582734173084866', '-7.675838470458984']"
Magnifique studio de 52m2 meublé,6 000 DH,Oulfa à Casablanca,52 m²,1 Pièce,1 Chambre,1 Salle de bain,4ème étage,"['Nouveau', '1-5 ans']","['33.55627344791359', '-7.67918586730957']"
Bel appartement meublé en location a californie,10 000 DH,Californie à Casablanca,108 m²,2 Pièces,2 Chambres,2 Salles de bains,3ème étage,"['Nouveau', '1-5 ans']","['33.53595755299843', '-7.625627517700195']"
Location villa moderne vide moderne à Californie,35 000 DH,Californie à Casablanca,500 m²,5 Pièces,4 Chambres,3 Salles de bains,Not specified,"['Bon état', '1-5 ans']","['33.5320075462679', '-7.616862947014511']"
Appartement Luxueux 110 m2 à 50m du lycée Lyautey,8 500 DH,Anfa à Casablanca,110 m²,1 Pièce,3 Chambres,2 Salles de bains,3ème étage,"['Bon état', '10-20 ans']","['33.598304662993705', '-7.644252777099609']"
Appartement 177m2 à louer quartier des hopitaux,11 000 DH,Les Hôpitaux à Casablanca,177 m²,5 Pièces,3 Chambres,2 Salles de bains,3ème étage,"['Bon état', '20-30 ans']","['33.57154299116339', '-7.636313438415527']"
Studio meublé à louer 2 Mars,6 500 DH,Hermitage à Casablanca,54 m²,2 Pièces,1 Chambre,1 Salle de bain,3ème étage,"['Nouveau', ""Moins d'un an""]","['33.57089936469496', '-7.620348930358887']"
Joli studio neuf à Nouaceur,5 000 DH,Nouaceur,45 m²,1 Pièce,1 Chambre,1 Salle de bain,Not specified,"['Nouveau', ""Moins d'un an""]","['33.382432843855234', '-7.565116882324219']"
Appartement à louer,7 500 DH,Maârif à Casablanca,52 m²,1 Pièce,1 Chambre,1 Salle de bain,2ème étage,"['Bon état', ""Moins d'un an""]","['33.58602331802259', '-7.636442184448242']"
Location appartement 94m Roches Noires,5 700 DH,Roches Noires à Casablanca,94 m²,3 Pièces,2 Chambres,2 Salles de bains,5ème étage,"['Bon état', '10-20 ans']","['33.601396106958', '-7.582995691336691']"
